row_index_zero_based,CID,zCMB,c,HOST_LOGMASS,biasCor_m_b,m_b_corr,low_mass_curve,high_mass_curve,delta_m_b_corr,m_b_corr_reconstructed
649,PS15brr,0.050630000000000001,-0.079210000000000003,9.6881799999999991,0.028799999999999999,17.293099999999999,0.032091324993072462,0.0060781119107530118,0.02601321308231945,17.319113213082318
651,AT2016cor,0.049950000000000001,0.13877,9.5946200000000008,-0.039399999999999998,17.599299999999999,0.049799973336225017,-0.11789518738850485,0.16769516072472987,17.766995160724729
659,PS16evk,0.053199999999999997,-0.030061000000000001,9.9323200000000007,0.0082000000000000007,17.6614,0.016985952389869715,-0.029722538320294312,0.04670849071016403,17.708108490710163
667,AT2017oz,0.056410000000000002,-0.021953,9.4895300000000002,-0.014500000000000001,17.5579,0.016140227453200366,-0.03478552896627797,0.050925756419478337,17.608825756419478
668,2006py,0.056579999999999998,-0.014706,9.5731300000000008,-0.0101,17.6568,0.015723323563236587,-0.039147671913105087,0.054870995476341673,17.711670995476343
686,SN2016aqb,0.064189999999999997,-0.102702,9.6242300000000007,0.045199999999999997,17.7667,0.046429304763182022,0.027034472813986979,0.019394831949195043,17.786094831949196
690,6057,0.066519999999999996,0.11237999999999999,9.5279799999999994,0.069500000000000006,17.909700000000001,0.04159510558123939,-0.10376947628478331,0.14536458186602269,18.055064581866024
691,SN2016ixf,0.067229999999999998,-0.114194,9.9960100000000001,0.0545,18.1707,0.055382102918792864,0.038374917620540017,0.017007185298252847,18.187707185298255
700,PS17yt,0.070459999999999995,-0.154333,9.9575200000000006,0.082699999999999996,18.2257,0.097851917370098213,0.084440133261760475,0.013411784108337738,18.239111784108339
704,ATLAS16bwu,0.070739999999999997,0.042791999999999997,9.6313700000000004,-0.049099999999999998,18.118200000000002,0.021657171328040951,-0.06976544058903561,0.091422611917076568,18.209622611917077
709,2007jd,0.071959999999999996,0.041465000000000002,9.7591400000000004,-0.073700000000000002,18.378900000000002,0.021371780685486369,-0.069113146202133713,0.090484926887620082,18.469384926887621
